year_month,Visitors,Water Temperature (degF),Salinity (PSU),Turbidity (NTU),Chlorophyll (ug/L),Enterococcus (mpn/100mL)
2018-01,,79.89120440899721,31.72317143113182,1.9193153508378888,3.2209714132090688,
2018-02,"454,308",79.30934107373226,31.119680460454504,1.6394819886871097,2.6397151930137936,
2018-03,"503,033",79.15202582728007,31.250278898753475,1.481051026813739,2.5295614743072368,
2018-04,"445,058",80.04599547267435,31.34954942330495,3.0036337177967014,2.5440056052603213,
2018-05,"482,224",79.8817869353968,32.35388788914882,1.3958628756523304,4.219174914522225,
2018-06,"536,414",80.81504807692308,32.2643543956044,1.8879441391941396,4.073914835164835,
2018-07,"561,784",81.91019002161383,32.50870497118155,1.522638688760807,4.113251080691643,
2018-08,"534,977",81.63004398680395,31.6929911026692,3.881561531540538,3.413222033389983,
2018-09,"453,390",82.08611306765523,31.91523725671918,2.4659156626506022,2.6334161260426323,
2018-10,"460,568",81.89232904263878,30.279706355591312,4.475617457763476,2.045030168946098,
2018-11,"449,924",80.73161093627066,32.60034421715185,1.26919256490952,1.8457366247049567,
2018-12,"523,019",78.05724910394265,33.104435483870965,1.4593548387096773,1.41034229390681,
2019-01,"488,441",77.39158353878248,32.9668063720842,6.756496301915417,2.0265854352361083,10.0
2019-02,"454,687",76.01375297619047,32.485394841269844,2.033010912698413,1.1543978174603176,10.0
2019-03,"523,904",77.05860551751913,33.12345247684253,0.9374838904550946,1.5095579943616593,10.0
2019-04,"487,367",78.94072382478633,32.992964743589745,1.1131690705128203,1.7510723824786325,20.5
2019-05,"508,088",81.30935645782917,32.510430223178275,0.274808640315497,1.7315640405126826,10.0
2019-06,"562,749",82.28282383130647,31.970748633270112,19.92515117706125,2.932155528282941,10.0
2019-07,"598,986",84.04088351254481,32.813675627240144,0.9978333333333332,4.7840394265232975,
2019-08,"575,070",84.04838978494624,33.26077508960574,24.86272043010753,7.119732974910394,10.0
2019-09,"458,588",84.31039478957916,32.84394088176353,32.449962320164424,3.7996563126252494,31.0
2019-10,"469,339",83.36619954734063,33.35845435684647,1.3944522904218724,3.693088457185968,
2019-11,"468,684",81.88745461281955,33.61326139310856,5.219554464616525,3.2587143386439426,10.0
2019-12,"558,346",79.37607221954742,33.22396533461724,1.6754366875300917,2.4282224362060663,158.0
2020-01,"506,708",77.72335035842293,33.238206093189966,2.229359318996416,1.4611594982078857,30.0
2020-02,"467,959",76.86461811212267,33.49331863919502,11.431478677527553,2.218341159559176,10.0
2020-03,"236,640",77.0131591214702,32.8206275212909,2.193480950246526,2.5328597041685343,173.0
2020-04,"3,601",78.90236868920796,33.101408985641505,8.138327929597036,3.376517832329782,
2020-05,"7,365",79.67648972761923,33.15286418146323,2.008930928697592,2.720189643952775,
2020-06,"13,029",80.78059581140104,32.990909396348975,4.960330936893757,2.161255277872874,
2020-07,"16,448",81.94063656347316,33.440011906942665,2.810799596995787,4.891841912438175,1031.0
2020-08,"16,917",82.10095139885223,33.581706420373024,29.382224713055955,10.222993185078913,10.0
2020-09,"11,885",81.71644226317251,33.545073617927585,39.52714788406334,7.118404481896471,10.0
2020-10,"36,009",82.30272875816993,33.187427912341406,9.984715494040753,6.2510467128027685,48.0
2020-11,"76,662",80.30537984065222,33.452932184546974,4.720764313507504,2.0050685566055213,44.666666666666664
2020-12,"113,090",79.11288888888889,33.28968458781362,48.28967025089605,6.1732168458781365,632.0
2021-01,"78,875",78.08879339149806,32.206327269352144,13.368689437534806,2.311807128271765,230.0
2021-02,"105,402",77.6423998015873,32.84927678571429,4.111546626984127,3.04355753968254,63.5
2021-03,"206,936",76.73058728593203,31.03291580740608,6.250650945933829,1.6548345736573118,509.5
2021-04,"223,079",78.36447758429048,33.1944757317525,1.4012615783623563,3.785501111522786,20.5
2021-05,"310,874",79.34743369175627,33.12854390681004,3.4832652329749103,3.7929077060931897,13.333333333333334
2021-06,"394,775",80.85018304814963,32.78374452845205,31.00623159570235,13.363369478710704,10.0
2021-07,"453,617",81.11980555555556,32.458700716845875,1.2699937275985662,3.555172939068101,106.5
2021-08,"369,671",80.85563261648745,32.40746953405018,1.833689964157706,2.8929605734767025,10.0
2021-09,"244,850",80.70987751531058,32.643592884222805,1.6628395061728396,3.027392825896763,20.0
2021-10,"256,930",79.9717686123733,32.43162414074333,1.479001514621927,4.054696493067691,46.333333333333336
2021-11,"292,395",79.70884481558804,32.718216522517146,9.483440699870762,6.067459986082116,25.5
2021-12,"389,219",77.04524127959516,30.72961322971264,19.440521443998765,5.064782474544893,321.0
2022-01,"276,821",77.2056412648074,31.988790224792464,4.019902061374872,2.2297341665889374,128.0
2022-02,"307,865",78.18474728014506,33.82538984587489,10.483321622846782,6.39324569356301,510.5
2022-03,"403,530",79.05438559116878,33.69684806817081,19.432788806042414,4.8635363609954485,10.0
2022-04,"415,997",78.16675710409825,33.41312151934885,11.148333333333332,2.723333333333333,15.0
2022-05,"415,219",78.4660983910891,32.66132425742574,,,35.333333333333336
2022-06,"437,344",80.18469007690169,33.60296673770036,,,25.5
2022-07,"490,033",80.3101517328066,33.4128990842162,15.67100896252037,2.1462466051059206,10.0
2022-08,"457,271",81.91875627690101,33.5400824964132,44.04845946915352,4.45097112625538,10.0
2022-09,"384,972",82.16864002613241,33.31336345818815,1.2663392857142857,1.987123694337548,36.5
2022-10,"390,603",81.90147715838197,33.45354397263031,1.239429587000677,2.597279959377116,24.0
2022-11,"393,203",79.17118339295801,33.60677932592732,1.282415730337079,2.387247191011236,25.5
2022-12,"485,311",77.77527777777777,33.54361559139785,0.94713082437276,3.761149641577061,10.0
2023-01,"434,905",78.05444613866715,33.61979370347117,1.0553314198582833,2.8095775405865995,20.0
2023-02,"410,096",76.50183234126983,33.22244841269841,1.1292847222222222,1.88994246031746,340.0
2023-03,"485,504",78.07353284278535,33.32395010768126,2.1184870782483847,4.709092785355348,15.0
2023-04,"453,976",79.03375956692177,32.87069068508494,2.540268807168191,4.386686578308755,16.666666666666668
2023-05,"452,045",79.13969253161103,33.29220322023106,1.4051178022377877,1.8353051942145,897.5
2023-06,"500,886",80.31184990125082,33.686030283080974,1.52285734226689,2.763599944165271,20.333333333333332
2023-07,"527,811",81.37993366167454,33.700116594632625,1.2835018594833651,3.4400814152176102,15.0
2023-08,"507,521",81.62734066767831,33.78648235963581,0.5417289453717754,1.226973634294385,10.0
2023-09,"438,743",81.21062999619338,33.73789017891131,2.117660829843929,1.77470688998858,10.0
2023-10,"447,842",81.75386969042476,33.78393628509719,0.5045626349892008,1.356886249100072,472.0
2023-11,"439,969",79.5358332502244,33.274075994814,1.0795611848010371,2.699963099630996,10.0
2023-12,"514,109",78.06448456150736,33.308622866725855,1.637008977014896,2.789664595047845,31.0
2024-01,"441,155",77.60344913408692,33.34447060043555,5.983602613294617,2.052104116976045,20.0
2024-02,"453,066",76.5198461697295,33.70477390047491,1.1851032417922776,1.890542019409457,31.0
2024-03,"511,183",76.89423735260556,33.553291175351845,1.321666983643971,2.2278642069227845,30.5
2024-04,"449,232",77.78600759013283,33.55376565464896,1.320498102466793,3.429181214421253,10.0
2024-05,"480,104",79.01780269058297,31.673526127939965,12.27352795826851,3.546567218815777,822.0
2024-06,"527,352",80.12057679723287,33.75520800224362,2.3348920258016266,2.7852444610638494,10.0
2024-07,"552,657",80.68609050105341,33.74515251442704,7.779376202253366,2.1888018686452324,760.0
2024-08,"518,420",81.36009951165576,33.706781535059434,4.095359808347922,2.8077508522989034,1139.0
2024-09,"433,889",82.60916920656769,33.884891357781925,2.8764152983974043,2.4316959984269,20.5
2024-10,"450,281",81.32093710349828,33.530226572412545,10.038244516947618,3.233022475983324,35.5
2024-11,"444,095",79.21572846441947,33.89027059925094,7.927016853932583,2.3820833333333336,1968.0
2024-12,"533,420",78.97277722548577,33.87923090826932,1.032451875282422,1.5580967013104383,10.0
2025-01,"457,278",78.13621037064424,32.996975690914134,3.31395600332748,1.714586375820316,41.5
2025-02,"431,349",78.72139593145606,33.71297524802085,1.9596141897985773,2.71905301132378,10.0
2025-03,"525,982",78.60941203491042,33.83690307762976,1.8418943500229676,1.6895792374827745,10.0
2025-04,"487,707",79.63988301219032,33.47933936295714,2.74168305151396,1.8636285882815573,20.0
2025-05,"466,401",80.03977426846261,33.84836971667441,7.490002786809104,2.884597306084533,52.0
2025-06,"512,198",80.64060006818957,33.919173769746564,0.5023570860325036,1.2828400954653938,10.0
